Timestamp,Source IP,Destination Port,Protocol
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,TCP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.44,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,TCP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,UDP
19-06-2025 17.45,192.168.0.105,443,TCP
